,time,KWH
200,2006/1/10 8:59,0
201,2006/1/10 9:59,0
202,2006/1/10 10:59,0
203,2006/1/10 11:59,0
204,2006/1/10 12:59,2720
205,2006/1/10 13:59,3707.5
206,2006/1/10 14:59,3892.5
207,2006/1/10 15:59,3860
208,2006/1/10 16:59,3870
209,2006/1/10 17:59,3805
210,2006/1/10 18:59,3747.5
211,2006/1/10 19:59,3692.5
212,2006/1/10 20:59,3520
213,2006/1/10 21:59,3682.5
214,2006/1/10 22:59,3917.5
215,2006/1/10 23:59,3832.5
216,2006/1/11 0:59,3795
217,2006/1/11 1:59,3792.5
218,2006/1/11 2:59,3650
219,2006/1/11 3:59,3577.5
220,2006/1/11 4:59,3460
221,2006/1/11 5:59,3467.5
222,2006/1/11 6:59,3790
223,2006/1/11 7:59,3830
224,2006/1/11 8:59,3895
225,2006/1/11 9:59,3895
226,2006/1/11 10:59,3717.5
227,2006/1/11 11:59,3860
228,2006/1/11 12:59,3730
229,2006/1/11 13:59,3700
230,2006/1/11 14:59,3992.5
231,2006/1/11 15:59,3960
232,2006/1/11 16:59,3912.5
233,2006/1/11 17:59,3832.5
234,2006/1/11 18:59,3847.5
235,2006/1/11 19:59,3807.5
236,2006/1/11 20:59,3642.5
237,2006/1/11 21:59,3742.5
238,2006/1/11 22:59,3975
239,2006/1/11 23:59,3862.5
240,2006/1/12 0:59,3797.5
241,2006/1/12 1:59,3770
242,2006/1/12 2:59,3675
243,2006/1/12 3:59,3577.5
244,2006/1/12 4:59,3475
245,2006/1/12 5:59,3490
246,2006/1/12 6:59,3792.5
247,2006/1/12 7:59,3842.5
248,2006/1/12 8:59,3870
249,2006/1/12 9:59,3802.5
250,2006/1/12 10:59,3735
251,2006/1/12 11:59,3902.5
252,2006/1/12 12:59,3672.5
253,2006/1/12 13:59,3677.5
254,2006/1/12 14:59,3917.5
255,2006/1/12 15:59,3900
256,2006/1/12 16:59,3902.5
257,2006/1/12 17:59,3845
258,2006/1/12 18:59,3787.5
259,2006/1/12 19:59,3697.5
260,2006/1/12 20:59,3580
261,2006/1/12 21:59,3705
262,2006/1/12 22:59,3907.5
263,2006/1/12 23:59,3825
264,2006/1/13 0:59,3732.5
265,2006/1/13 1:59,3657.5
266,2006/1/13 2:59,3645
267,2006/1/13 3:59,3600
268,2006/1/13 4:59,3467.5
269,2006/1/13 5:59,3442.5
270,2006/1/13 6:59,3767.5
271,2006/1/13 7:59,3777.5
272,2006/1/13 8:59,3767.5
273,2006/1/13 9:59,3735
274,2006/1/13 10:59,3640
275,2006/1/13 11:59,3770
276,2006/1/13 12:59,3622.5
277,2006/1/13 13:59,3732.5
278,2006/1/13 14:59,3950
279,2006/1/13 15:59,3860
280,2006/1/13 16:59,3862.5
281,2006/1/13 17:59,3775
282,2006/1/13 18:59,3717.5
283,2006/1/13 19:59,3562.5
284,2006/1/13 20:59,3445
285,2006/1/13 21:59,3605
286,2006/1/13 22:59,3832.5
287,2006/1/13 23:59,3797.5
288,2006/1/14 0:59,3767.5
289,2006/1/14 1:59,3747.5
290,2006/1/14 2:59,3710
291,2006/1/14 3:59,3652.5
292,2006/1/14 4:59,3487.5
293,2006/1/14 5:59,3490
294,2006/1/14 6:59,3827.5
295,2006/1/14 7:59,3807.5
296,2006/1/14 8:59,3840
297,2006/1/14 9:59,3785
298,2006/1/14 10:59,3615
299,2006/1/14 11:59,3580
300,2006/1/14 12:59,3510
301,2006/1/14 13:59,3670
302,2006/1/14 14:59,3877.5
303,2006/1/14 15:59,3840
304,2006/1/14 16:59,3847.5
305,2006/1/14 17:59,3792.5
306,2006/1/14 18:59,3760
307,2006/1/14 19:59,3620
308,2006/1/14 20:59,3475
309,2006/1/14 21:59,3620
310,2006/1/14 22:59,3882.5
311,2006/1/14 23:59,3797.5
312,2006/1/15 0:59,3752.5
313,2006/1/15 1:59,3700
314,2006/1/15 2:59,3667.5
